x;15;3023;D bluish gray;PART;Plate 1 x 2
 ;60;61252;D bluish gray;PART;Plate, Modified 1 x 1 with Clip Horizontal (thick open O clip)
 ;30;3024;L bluish gray;PART;Plate 1 x 1
 ;45;3022;L bluish gray;PART;Plate 2 x 2
 ;15;4085d;L bluish gray;PART;Plate, Modified 1 x 1 with Clip Vertical - Type 4 (thick open O clip)
x;15;88072;L bluish gray;PART;Plate, Modified 1 x 2 with Arm Up (Horizontal Arm Length 5mm)
 ;60;18649;L bluish gray;PART;Plate, Modified 1 x 2 with Handles on Ends
 ;30;85984;L bluish gray;PART;Slope 30 1 x 2 x 2/3
x;15;3069b;L bluish gray;PART;Tile 1 x 2 with Groove
x;60;15712;L bluish gray;PART;Tile, Modified 1 x 1 with Clip - Rounded Edges
 ;30;3024;T-black;PART;Plate 1 x 1
